0,32,10
163,173,1
174,176,9
179,210,6
211,226,6
227,247,1
248,248,9
249,250,7
251,266,7
267,282,3
283,293,7
294,302,3
303,304,7
305,310,9
312,319,9
320,334,3
335,347,1
348,348,9
349,360,13
361,364,9
365,374,6
375,407,1
411,439,11
440,442,3
443,463,1
464,470,13
471,471,7
472,474,7
475,491,3
492,498,7
499,500,7
501,506,9
507,537,3
555,566,2
567,588,1
589,589,9
590,611,7
616,626,5
627,636,3
710,713,7
714,714,7
715,720,9
757,774,3
792,815,1
816,816,9
817,843,7
844,849,3
850,858,7
859,863,13
865,870,3
872,909,3
911,934,1
935,962,2
963,980,1
981,981,13
982,986,9
988,989,9
990,993,7
994,1007,3
1008,1008,7
1009,1010,9
1025,1031,3
1032,1043,9
1045,1098,3
1099,1110,1
1111,1114,9
1115,1119,6
1120,1124,7
1125,1134,3
1135,1140,7
1141,1141,9
1142,1149,9
1150,1164,3
1195,1224,1
1225,1240,9
1241,1263,3
1265,1265,9
1266,1300,11
1301,1342,3
1343,1343,11
1344,1364,9
1365,1400,1
1401,1407,2
1408,1421,9
1433,1451,1
1452,1486,3
1504,1516,1
1517,1517,9
1518,1524,13
1525,1525,7
1527,1540,7
1545,1556,1
1557,1557,7
1558,1567,9
1571,1580,6
1581,1589,3
1590,1601,1
1602,1604,9
1608,1628,6
1638,1668,9
1690,1709,1
1710,1712,8
1719,1739,5
1740,1748,3
1807,1818,3
1880,1890,13
1894,1894,13
1895,1903,7
1907,1932,2
1956,1971,7
1977,1987,5
2019,2026,2
2065,2068,7
2070,2085,7
2115,2142,6
2154,2154,7
2155,2175,9
2176,2182,2
2183,2249,1
2250,2257,9
2258,2258,7
2259,2262,7
2281,2287,7
2288,2288,9
2358,2367,6
2371,2379,8
2492,2492,9
2493,2501,13
2502,2503,9
2504,2515,6
2564,2583,9
2675,2700,4
2726,2749,4
2789,2798,9
2800,2827,1
2845,2873,1
2874,2874,9
2875,2881,13
2882,2884,7
2885,2894,7
2913,2923,9
2928,2940,6
2968,2989,1
2990,3005,2
3076,3076,9
3077,3100,7
