0,33,10
34,133,3
151,167,1
168,186,3
187,199,1
201,202,9
203,215,7
220,230,1
234,237,6
238,246,8
251,258,5
259,280,3
303,328,5
329,340,1
341,360,9
362,374,6
375,387,1
388,394,9
395,399,6
401,408,7
409,435,6
436,455,3
456,475,1
476,480,9
481,509,7
486,488,5
533,543,3
561,576,1
577,590,9
592,607,7
608,656,3
657,670,1
671,689,9
690,706,3
707,716,1
717,721,9
726,735,11
736,744,3
794,817,1
843,846,11
847,867,12
884,894,12
904,915,3
916,929,1
930,933,9
935,938,6
939,944,7
947,961,3
972,990,9
991,1010,6
1056,1068,1
1189,1201,1
1162,1188,3
1202,1215,9
1218,1222,7
1306,1309,4
1310,1325,1
1288,1305,1
1326,1330,11
1333,1351,12
1392,1403,3
1435,1459,1
1480,1486,5
1504,1516,5
1531,1550,4
1618,1625,5
1659,1670,9
1672,1675,7
1714,1720,7
1894,1908,9
1917,1924,9
2141,2150,11
2187,2199,1
2205,2210,11
2216,2218,9
2220,2235,6
2274,2281,9
2283,2287,7
2295,2306,3
2307,2312,9
2320,2339,11
2340,2349,3
2352,2379,1
2399,2412,3
2413,2427,1
2428,2436,6
2439,2449,8
2451,2470,3
2472,2486,9
2487,2493,3
2534,2542,9
2544,2562,7
2582,2591,7
2623,2636,9
2638,2651,6
2652,2683,6
2701,2728,9
2729,2738,1
2744,2751,11
2786,2824,3
3006,3029,1
2938,2950,5
